stock,volume
CVCO,30
SCS,16443
SCU,100
BBD,258796
BBG,37424
BBF,2808
BBH,30532
SCON,1400
SCX,290
SCOK,230
BBK,2830
SCZ,24678
STPZ,7542
JIVE,6079
BBL,41472
BBN,12383
SDD,100
BBT,174012
TWTC,55793
SCOR,4070
CEAI,100
BBW,1102
BBY,259827
BBX,536
FNLC,2603
SDP,25
SDR,8439
BCA,5617
SDT,4475
SDS,713137
BCC,1475
BCF,22837
BCE,23537
BCH,1502
STON,10284
KURRY,1
SDY,102920
JRONY,100
BSAC,3518
SEA,7250
BCO,5702
BCR,25115
SEB,13
SEE,22528
BCS,84261
BCV,1139
SEF,680
BCX,13352
CVCY,800
IWSY,11500
HCOM,1051
SEM,38963
TWSI,235
SEP,3264
HTSI,24346
BDC,4982
A,70791
TKPPY,3327
BDE,4973
NVEC,725
B,3058
C,1058296
BDD,2000
D,48098
STRT,600
SEV,3137
STRS,2000
E,18862
F,1508993
G,13940
H,12669
STSA,4416
I,3814
BDJ,86312
K,65467
BDL,1400
L,19254
MLLGF,2700
M,163154
BDN,44693
MSBF,200
CYS.PR.B,1755
N,14557
O,86268
P,321589
STSI,555631
CECO,54440
Q,25271
R,22625
SFE,8806
S,1501242
T,2844320
SFG,1884
V,211728
BDX,57867
X,703612
SFL,17872
SFK,936
IFUS,50000
Y,1811
Z,31082
SFN,224
CECE,3668
SFM,8086
NVDA,3157529
BEE,28084
SCPB,19701
BSCM,214
BSCL,752
TWTR,2298919
BSCK,67112
SFY,35136
BSCJ,1955
BSCI,7073
BSCH,11099
BEN,69710
BSCG,4489
BSCF,4406
TFSL,64745
BEP,2604
SGA,653
CEDU,664
BSCE,14345
SGC,20
ZMSPF,1000
NVDQ,9457
NECB,400
SGG,900
VLGEA,686
SGF,1852
SGI,15291
NVDL,15997
SGK,112
STRA,6081
STRP,127
SGM,1300
SGL,17931
STRM,16912
STRL,2509
FNMA,490981
BSBR,493590
HTSC,600
STRI,73138
SGU,3518
CEFC,43
NVGC,800
LPAD,1446
SGY,17403
APAM,761
BSDM,18376
SCSC,1858
BFK,13159
DHIL,119
BBBY,69685
CVGI,3880
BFO,301
NVGN,500
ARTNA,74
BFS,213
BFR,1900
NVGS,24287
SHG,1998
BFY,2137
SHI,1327
SCSS,33124
BFZ,4086
SHM,17541
SHO,59240
BGB,7977
BGC,8242
MSCA,317
SHV,93695
MSCC,26558
BBDA,128500
BGH,23078
BGG,13779
SHW,16815
BGI,250
SHY,70290
SCRC,20000
MSCI,11110
BBCZ,2600
BGR,10921
HCSG,7709
BGT,11998
SID,280943
BGS,9022
SIG,63555
PHOEF,200
SIF,60
BGX,7410
BBCN,4165
BGY,14645
SIM,2010
SIL,27156
CEFL,8266
CVGW,1273
BHB,302
SIR,42517
MODTQ,1800
BHE,8425
STTK,122500
BSFT,4373
BHI,105344
SIX,22174
MSFG,1548
BHK,4249
HTWR,3379
BHL,594
STWD,18574
SJB,450
BHP,88117
MSFT,1987347
BHV,1
NVIV,3970
SJI,1761
SJM,26040
FNRC,250100
BIB,11379
SJR,5739
STWS,500
FNRG,600
SJT,3382
BID,21140
BIF,765
BIE,104
BSET,746
BIG,9022
SJW,722
ASWRF,7688
BIL,12755
BIK,7134
KGILF,2910
BIN,2100
APDN,57399
BIP,8857
APNHY,20
BIO,553
BIT,5300
BIS,3074
BIV,15681
SKF,2785
